,Plot,Genotype,Experiment,Total.Plants,Number.Lodged,Percent.Lodging,Lodging.Index,Lodged,Lodged2
1,35,2369,55 and friends,18,6,33.33333333,1,Y,1
2,35,2369,55 and friends,18,6,33.33333333,1,Y,1
3,35,2369,55 and friends,18,6,33.33333333,1,Y,1
4,35,2369,55 and friends,18,6,33.33333333,1,Y,1
5,35,2369,55 and friends,18,6,33.33333333,1,Y,1
6,35,2369,55 and friends,18,6,33.33333333,1,Y,1
19,67,2369,55 and friends,16,2,12.5,1,Y,1
20,67,2369,55 and friends,16,2,12.5,2,Y,1
139,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
140,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
141,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
142,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
143,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
144,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
145,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
146,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
147,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
148,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
149,107,B73,55 and friends,18,11,61.11111111,0.5,Y,1
175,42,B97,55 and friends,11,10,90.90909091,1,Y,1
176,42,B97,55 and friends,11,10,90.90909091,1,Y,1
177,42,B97,55 and friends,11,10,90.90909091,1,Y,1
178,42,B97,55 and friends,11,10,90.90909091,1,Y,1
179,42,B97,55 and friends,11,10,90.90909091,1,Y,1
180,42,B97,55 and friends,11,10,90.90909091,1,Y,1
181,42,B97,55 and friends,11,10,90.90909091,1,Y,1
182,42,B97,55 and friends,11,10,90.90909091,1,Y,1
183,42,B97,55 and friends,11,10,90.90909091,1,Y,1
184,42,B97,55 and friends,11,10,90.90909091,1,Y,1
186,135,B97,55 and friends,8,1,12.5,4,Y,1
211,44,CML10,55 and friends,14,14,100,2,Y,1
212,44,CML10,55 and friends,14,14,100,2,Y,1
213,44,CML10,55 and friends,14,14,100,2,Y,1
214,44,CML10,55 and friends,14,14,100,2,Y,1
215,44,CML10,55 and friends,14,14,100,2,Y,1
216,44,CML10,55 and friends,14,14,100,2,Y,1
217,44,CML10,55 and friends,14,14,100,2,Y,1
218,44,CML10,55 and friends,14,14,100,2,Y,1
219,44,CML10,55 and friends,14,14,100,2,Y,1
220,44,CML10,55 and friends,14,14,100,2,Y,1
221,44,CML10,55 and friends,14,14,100,2,Y,1
222,44,CML10,55 and friends,14,14,100,2,Y,1
223,44,CML10,55 and friends,14,14,100,2,Y,1
224,44,CML10,55 and friends,14,14,100,2,Y,1
225,51,CML10,55 and friends,15,15,100,1,Y,1
226,51,CML10,55 and friends,15,15,100,1,Y,1
227,51,CML10,55 and friends,15,15,100,1,Y,1
228,51,CML10,55 and friends,15,15,100,1,Y,1
229,51,CML10,55 and friends,15,15,100,1,Y,1
230,51,CML10,55 and friends,15,15,100,1,Y,1
231,51,CML10,55 and friends,15,15,100,1,Y,1
232,51,CML10,55 and friends,15,15,100,1,Y,1
233,51,CML10,55 and friends,15,15,100,1,Y,1
234,51,CML10,55 and friends,15,15,100,1,Y,1
235,51,CML10,55 and friends,15,15,100,1,Y,1
236,51,CML10,55 and friends,15,15,100,1,Y,1
237,51,CML10,55 and friends,15,15,100,1,Y,1
238,51,CML10,55 and friends,15,15,100,1,Y,1
239,51,CML10,55 and friends,15,15,100,1,Y,1
240,32,CML103,55 and friends,5,2,40,0.5,Y,1
241,32,CML103,55 and friends,5,2,40,0.5,Y,1
245,206,CML103,55 and friends,6,5,83.33333333,2,Y,1
246,206,CML103,55 and friends,6,5,83.33333333,2,Y,1
247,206,CML103,55 and friends,6,5,83.33333333,2,Y,1
248,206,CML103,55 and friends,6,5,83.33333333,2,Y,1
249,206,CML103,55 and friends,6,5,83.33333333,1,Y,1
284,49,CML247,55 and friends,12,4,33.33333333,3,Y,1
285,49,CML247,55 and friends,12,4,33.33333333,1,Y,1
286,49,CML247,55 and friends,12,4,33.33333333,1,Y,1
287,49,CML247,55 and friends,12,4,33.33333333,1,Y,1
296,222,CML247,55 and friends,12,12,100,2.5,Y,1
297,222,CML247,55 and friends,12,12,100,2.5,Y,1
298,222,CML247,55 and friends,12,12,100,2.5,Y,1
299,222,CML247,55 and friends,12,12,100,2.5,Y,1
300,222,CML247,55 and friends,12,12,100,2.5,Y,1
301,222,CML247,55 and friends,12,12,100,2.5,Y,1
302,222,CML247,55 and friends,12,12,100,2.5,Y,1
303,222,CML247,55 and friends,12,12,100,2.5,Y,1
304,222,CML247,55 and friends,12,12,100,2.5,Y,1
305,222,CML247,55 and friends,12,12,100,2.5,Y,1
306,222,CML247,55 and friends,12,12,100,2.5,Y,1
307,222,CML247,55 and friends,12,12,100,2.5,Y,1
322,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
323,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
324,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
325,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
326,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
327,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
328,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
329,105,CML258,55 and friends,15,10,66.66666667,3,Y,1
330,105,CML258,55 and friends,15,10,66.66666667,1,Y,1
331,105,CML258,55 and friends,15,10,66.66666667,1,Y,1
372,205,CML333,55 and friends,5,2,40,1,Y,1
373,205,CML333,55 and friends,5,2,40,1,Y,1
377,216,CML333,55 and friends,4,4,100,1,Y,1
378,216,CML333,55 and friends,4,4,100,1,Y,1
379,216,CML333,55 and friends,4,4,100,1,Y,1
380,216,CML333,55 and friends,4,4,100,1,Y,1
381,36,CML341,55 and friends,17,3,17.64705882,1,Y,1
382,36,CML341,55 and friends,17,3,17.64705882,1,Y,1
383,36,CML341,55 and friends,17,3,17.64705882,1,Y,1
398,41,CML341,55 and friends,14,7,50,1,Y,1
399,41,CML341,55 and friends,14,7,50,1,Y,1
400,41,CML341,55 and friends,14,7,50,1,Y,1
401,41,CML341,55 and friends,14,7,50,1,Y,1
402,41,CML341,55 and friends,14,7,50,1,Y,1
403,41,CML341,55 and friends,14,7,50,1,Y,1
404,41,CML341,55 and friends,14,7,50,1,Y,1
441,48,CML52,55 and friends,15,15,100,3,Y,1
442,48,CML52,55 and friends,15,15,100,3,Y,1
443,48,CML52,55 and friends,15,15,100,3,Y,1
444,48,CML52,55 and friends,15,15,100,3,Y,1
445,48,CML52,55 and friends,15,15,100,3,Y,1
446,48,CML52,55 and friends,15,15,100,3,Y,1
447,48,CML52,55 and friends,15,15,100,3,Y,1
448,48,CML52,55 and friends,15,15,100,3,Y,1
449,48,CML52,55 and friends,15,15,100,3,Y,1
450,48,CML52,55 and friends,15,15,100,3,Y,1
451,48,CML52,55 and friends,15,15,100,3,Y,1
452,48,CML52,55 and friends,15,15,100,3,Y,1
453,48,CML52,55 and friends,15,15,100,3,Y,1
454,48,CML52,55 and friends,15,15,100,3,Y,1
455,48,CML52,55 and friends,15,15,100,3,Y,1
456,165,CML52,55 and friends,16,16,100,3,Y,1
457,165,CML52,55 and friends,16,16,100,3,Y,1
458,165,CML52,55 and friends,16,16,100,3,Y,1
459,165,CML52,55 and friends,16,16,100,3,Y,1
460,165,CML52,55 and friends,16,16,100,3,Y,1
461,165,CML52,55 and friends,16,16,100,3,Y,1
462,165,CML52,55 and friends,16,16,100,3,Y,1
463,165,CML52,55 and friends,16,16,100,3,Y,1
464,165,CML52,55 and friends,16,16,100,3,Y,1
465,165,CML52,55 and friends,16,16,100,3,Y,1
466,165,CML52,55 and friends,16,16,100,3,Y,1
467,165,CML52,55 and friends,16,16,100,3,Y,1
468,165,CML52,55 and friends,16,16,100,3,Y,1
469,165,CML52,55 and friends,16,16,100,3,Y,1
470,165,CML52,55 and friends,16,16,100,3,Y,1
471,165,CML52,55 and friends,16,16,100,3,Y,1
472,46,CML69,55 and friends,17,17,100,1,Y,1
473,46,CML69,55 and friends,17,17,100,1,Y,1
474,46,CML69,55 and friends,17,17,100,1,Y,1
475,46,CML69,55 and friends,17,17,100,1,Y,1
476,46,CML69,55 and friends,17,17,100,1,Y,1
477,46,CML69,55 and friends,17,17,100,1,Y,1
478,46,CML69,55 and friends,17,17,100,1,Y,1
479,46,CML69,55 and friends,17,17,100,1,Y,1
480,46,CML69,55 and friends,17,17,100,1,Y,1
481,46,CML69,55 and friends,17,17,100,1,Y,1
482,46,CML69,55 and friends,17,17,100,1,Y,1
483,46,CML69,55 and friends,17,17,100,1,Y,1
484,46,CML69,55 and friends,17,17,100,1,Y,1
485,46,CML69,55 and friends,17,17,100,1,Y,1
486,46,CML69,55 and friends,17,17,100,1,Y,1
487,46,CML69,55 and friends,17,17,100,1,Y,1
488,46,CML69,55 and friends,17,17,100,1,Y,1
489,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
490,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
491,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
492,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
493,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
494,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
495,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
496,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
497,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
498,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
499,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
500,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
501,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
502,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
503,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
504,102,CML69,55 and friends,17,16,94.11764706,1,Y,1
520,52,GT112,55 and friends,14,3,21.42857143,1,Y,1
521,52,GT112,55 and friends,14,3,21.42857143,1,Y,1
522,52,GT112,55 and friends,14,3,21.42857143,1,Y,1
557,10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y,1
558,10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y,1
559,10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y,1
560,10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y,1
561,10,Hickory King,55 and friends,9,5,55.55555556,3.5,Y,1
567,140,Hickory King,55 and friends,9,9,100,0.5,Y,1
568,140,Hickory King,55 and friends,9,9,100,0.5,Y,1
569,140,Hickory King,55 and friends,9,9,100,2,Y,1
570,140,Hickory King,55 and friends,9,9,100,2,Y,1
571,140,Hickory King,55 and friends,9,9,100,2,Y,1
572,140,Hickory King,55 and friends,9,9,100,2,Y,1
573,140,Hickory King,55 and friends,9,9,100,2,Y,1
574,140,Hickory King,55 and friends,9,9,100,2,Y,1
575,140,Hickory King,55 and friends,9,9,100,2,Y,1
635,18,Ky21,55 and friends,12,2,16.66666667,1,Y,1
636,18,Ky21,55 and friends,12,2,16.66666667,1,Y,1
647,71,Ky21,55 and friends,11,6,54.54545455,1,Y,1
648,71,Ky21,55 and friends,11,6,54.54545455,1,Y,1
649,71,Ky21,55 and friends,11,6,54.54545455,1,Y,1
650,71,Ky21,55 and friends,11,6,54.54545455,1,Y,1
651,71,Ky21,55 and friends,11,6,54.54545455,2,Y,1
652,71,Ky21,55 and friends,11,6,54.54545455,2,Y,1
685,66,LH123Ht,55 and friends,13,1,7.692307692,2,Y,1
698,209,LH123Ht,55 and friends,13,6,46.15384615,4,Y,1
699,209,LH123Ht,55 and friends,13,6,46.15384615,1,Y,1
700,209,LH123Ht,55 and friends,13,6,46.15384615,1,Y,1
701,209,LH123Ht,55 and friends,13,6,46.15384615,1,Y,1
702,209,LH123Ht,55 and friends,13,6,46.15384615,1,Y,1
703,209,LH123Ht,55 and friends,13,6,46.15384615,1,Y,1
745,16,LH252,55 and friends,13,7,53.84615385,2,Y,1
746,16,LH252,55 and friends,13,7,53.84615385,2,Y,1
747,16,LH252,55 and friends,13,7,53.84615385,2,Y,1
748,16,LH252,55 and friends,13,7,53.84615385,2,Y,1
749,16,LH252,55 and friends,13,7,53.84615385,2,Y,1
750,16,LH252,55 and friends,13,7,53.84615385,2,Y,1
751,16,LH252,55 and friends,13,7,53.84615385,2,Y,1
758,134,LH252,55 and friends,7,6,85.71428571,3,Y,1
759,134,LH252,55 and friends,7,6,85.71428571,3,Y,1
760,134,LH252,55 and friends,7,6,85.71428571,3,Y,1
761,134,LH252,55 and friends,7,6,85.71428571,3,Y,1
762,134,LH252,55 and friends,7,6,85.71428571,3,Y,1
763,134,LH252,55 and friends,7,6,85.71428571,3,Y,1
787,33,M162W,55 and friends,15,2,13.33333333,2,Y,1
788,33,M162W,55 and friends,15,2,13.33333333,2,Y,1
802,200,M37W,55 and friends,13,3,23.07692308,1,Y,1
803,200,M37W,55 and friends,13,3,23.07692308,1,Y,1
804,200,M37W,55 and friends,13,3,23.07692308,1,Y,1
815,210,M37W,55 and friends,16,1,6.25,1,Y,1
851,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
852,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
853,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
854,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
855,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
856,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
857,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
858,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
859,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
860,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
861,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
862,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
863,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
864,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
865,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
866,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
867,43,Mo18W,55 and friends,18,17,94.44444444,1.5,Y,1
869,214,Mo18W,55 and friends,18,18,100,1,Y,1
870,214,Mo18W,55 and friends,18,18,100,1,Y,1
871,214,Mo18W,55 and friends,18,18,100,1,Y,1
872,214,Mo18W,55 and friends,18,18,100,1,Y,1
873,214,Mo18W,55 and friends,18,18,100,1,Y,1
874,214,Mo18W,55 and friends,18,18,100,1,Y,1
875,214,Mo18W,55 and friends,18,18,100,1,Y,1
876,214,Mo18W,55 and friends,18,18,100,1,Y,1
877,214,Mo18W,55 and friends,18,18,100,1,Y,1
878,214,Mo18W,55 and friends,18,18,100,1,Y,1
879,214,Mo18W,55 and friends,18,18,100,1,Y,1
880,214,Mo18W,55 and friends,18,18,100,1,Y,1
881,214,Mo18W,55 and friends,18,18,100,1,Y,1
882,214,Mo18W,55 and friends,18,18,100,1,Y,1
883,214,Mo18W,55 and friends,18,18,100,1,Y,1
884,214,Mo18W,55 and friends,18,18,100,1,Y,1
885,214,Mo18W,55 and friends,18,18,100,1,Y,1
886,214,Mo18W,55 and friends,18,18,100,1,Y,1
933,39,NC262,55 and friends,7,2,28.57142857,2,Y,1
934,39,NC262,55 and friends,7,2,28.57142857,2,Y,1
947,217,NC350,55 and friends,3,3,100,0.5,Y,1
948,217,NC350,55 and friends,3,3,100,0.5,Y,1
949,217,NC350,55 and friends,3,3,100,0.5,Y,1
953,208,Oh43,55 and friends,12,1,8.333333333,2,Y,1
982,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
983,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
984,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
985,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
986,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
987,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
988,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
989,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
990,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
991,29,Oh7B,55 and friends,10,10,100,2.5,Y,1
992,104,Oh7B,55 and friends,9,8,88.88888889,1,Y,1
993,104,Oh7B,55 and friends,9,8,88.88888889,1,Y,1
994,104,Oh7B,55 and friends,9,8,88.88888889,1,Y,1
995,104,Oh7B,55 and friends,9,8,88.88888889,3,Y,1
996,104,Oh7B,55 and friends,9,8,88.88888889,3,Y,1
997,104,Oh7B,55 and friends,9,8,88.88888889,3,Y,1
998,104,Oh7B,55 and friends,9,8,88.88888889,3,Y,1
999,104,Oh7B,55 and friends,9,8,88.88888889,3,Y,1
1001,50,P39,55 and friends,5,5,100,1,Y,1
1002,50,P39,55 and friends,5,5,100,1,Y,1
1003,50,P39,55 and friends,5,5,100,1,Y,1
1004,50,P39,55 and friends,5,5,100,1,Y,1
1005,50,P39,55 and friends,5,5,100,1,Y,1
1033,31,PHB47,55 and friends,15,1,6.666666667,3,Y,1
1048,199,PHB47,55 and friends,10,8,80,1,Y,1
1049,199,PHB47,55 and friends,10,8,80,1,Y,1
1050,199,PHB47,55 and friends,10,8,80,1,Y,1
1051,199,PHB47,55 and friends,10,8,80,1,Y,1
1052,199,PHB47,55 and friends,10,8,80,1,Y,1
1053,199,PHB47,55 and friends,10,8,80,1,Y,1
1054,199,PHB47,55 and friends,10,8,80,1,Y,1
1055,199,PHB47,55 and friends,10,8,80,1,Y,1
1133,201,PHT60,55 and friends,12,2,16.66666667,1,Y,1
1134,201,PHT60,55 and friends,12,2,16.66666667,1,Y,1
1161,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1162,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1163,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1164,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1165,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1166,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1167,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1168,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1169,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1170,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1171,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1172,19,R78,55 and friends,14,13,92.85714286,1,Y,1
1173,19,R78,55 and friends,14,13,92.85714286,3,Y,1
1191,21,R84,55 and friends,15,6,40,1,Y,1
1192,21,R84,55 and friends,15,6,40,1,Y,1
1193,21,R84,55 and friends,15,6,40,1,Y,1
1194,21,R84,55 and friends,15,6,40,1,Y,1
1195,21,R84,55 and friends,15,6,40,1,Y,1
1196,21,R84,55 and friends,15,6,40,1,Y,1
1206,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1207,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1208,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1209,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1210,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1211,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1212,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1213,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1214,76,R84,55 and friends,14,9,64.28571429,2,Y,1
1220,9,SA24,55 and friends,16,16,100,1,Y,1
1221,9,SA24,55 and friends,16,16,100,1,Y,1
1222,9,SA24,55 and friends,16,16,100,1,Y,1
1223,9,SA24,55 and friends,16,16,100,1,Y,1
1224,9,SA24,55 and friends,16,16,100,1,Y,1
1225,9,SA24,55 and friends,16,16,100,1,Y,1
1226,9,SA24,55 and friends,16,16,100,1,Y,1
1227,9,SA24,55 and friends,16,16,100,1,Y,1
1228,9,SA24,55 and friends,16,16,100,1,Y,1
1229,9,SA24,55 and friends,16,16,100,1,Y,1
1230,9,SA24,55 and friends,16,16,100,1,Y,1
1231,9,SA24,55 and friends,16,16,100,1,Y,1
1232,9,SA24,55 and friends,16,16,100,1,Y,1
1233,9,SA24,55 and friends,16,16,100,1,Y,1
1234,9,SA24,55 and friends,16,16,100,1,Y,1
1235,9,SA24,55 and friends,16,16,100,1,Y,1
1236,37,SA24,55 and friends,18,18,100,2,Y,1
1237,37,SA24,55 and friends,18,18,100,2,Y,1
1238,37,SA24,55 and friends,18,18,100,2,Y,1
1239,37,SA24,55 and friends,18,18,100,2,Y,1
1240,37,SA24,55 and friends,18,18,100,2,Y,1
1241,37,SA24,55 and friends,18,18,100,2,Y,1
1242,37,SA24,55 and friends,18,18,100,2,Y,1
1243,37,SA24,55 and friends,18,18,100,2,Y,1
1244,37,SA24,55 and friends,18,18,100,2,Y,1
1245,37,SA24,55 and friends,18,18,100,2,Y,1
1246,37,SA24,55 and friends,18,18,100,2,Y,1
1247,37,SA24,55 and friends,18,18,100,2,Y,1
1248,37,SA24,55 and friends,18,18,100,2,Y,1
1249,37,SA24,55 and friends,18,18,100,2,Y,1
1250,37,SA24,55 and friends,18,18,100,2,Y,1
1251,37,SA24,55 and friends,18,18,100,2,Y,1
1252,37,SA24,55 and friends,18,18,100,2,Y,1
1253,37,SA24,55 and friends,18,18,100,2,Y,1
1254,17,Shoe Peg,55 and friends,9,2,22.22222222,4,Y,1
1255,17,Shoe Peg,55 and friends,9,2,22.22222222,4,Y,1
1263,57,Shoe Peg,55 and friends,15,5,33.33333333,3,Y,1
1264,57,Shoe Peg,55 and friends,15,5,33.33333333,1,Y,1
1265,57,Shoe Peg,55 and friends,15,5,33.33333333,1,Y,1
1266,57,Shoe Peg,55 and friends,15,5,33.33333333,1,Y,1
1267,57,Shoe Peg,55 and friends,15,5,33.33333333,1,Y,1
1278,47,Tx303,55 and friends,15,15,100,2,Y,1
1279,47,Tx303,55 and friends,15,15,100,2,Y,1
1280,47,Tx303,55 and friends,15,15,100,2,Y,1
1281,47,Tx303,55 and friends,15,15,100,2,Y,1
1282,47,Tx303,55 and friends,15,15,100,2,Y,1
1283,47,Tx303,55 and friends,15,15,100,2,Y,1
1284,47,Tx303,55 and friends,15,15,100,2,Y,1
1285,47,Tx303,55 and friends,15,15,100,2,Y,1
1286,47,Tx303,55 and friends,15,15,100,2,Y,1
1287,47,Tx303,55 and friends,15,15,100,2,Y,1
1288,47,Tx303,55 and friends,15,15,100,2,Y,1
1289,47,Tx303,55 and friends,15,15,100,2,Y,1
1290,47,Tx303,55 and friends,15,15,100,2,Y,1
1291,47,Tx303,55 and friends,15,15,100,2,Y,1
1292,47,Tx303,55 and friends,15,15,100,2,Y,1
1293,171,Tx303,55 and friends,16,4,25,1,Y,1
1294,171,Tx303,55 and friends,16,4,25,1,Y,1
1295,171,Tx303,55 and friends,16,4,25,1,Y,1
1296,171,Tx303,55 and friends,16,4,25,1,Y,1
1314,40,Tzi8,55 and friends,2,2,100,2,Y,1
1315,40,Tzi8,55 and friends,2,2,100,2,Y,1
1316,101,Tzi9,55 and friends,15,15,100,1,Y,1
1317,101,Tzi9,55 and friends,15,15,100,1,Y,1
1318,101,Tzi9,55 and friends,15,15,100,1,Y,1
1319,101,Tzi9,55 and friends,15,15,100,1,Y,1
