Group,ModelNumber,Predictor,LevelOfImportance,Outcome
Odd,Model1,w3,1,Paired EI
Odd,Model1,brace_root_whorls_in_the_soil,2,Paired EI
Odd,Model1,num_whorls,3,Paired EI
Odd,Model1,w2,4,Paired EI
Odd,Model1,stalk_to_rootgrounding_cm,5,Paired EI
Odd,Model1,w1,6,Paired EI
Odd,Model1,root_angle,7,Paired EI
Odd,Model1,single_root_width_cm,8,Paired EI
Odd,Model1,spread_width_cm,9,Paired EI
Odd,Model1,root_heightonstalk_cm,10,Paired EI
Odd,Model1,height_cm,11,Paired EI
Odd,Model1,stalk_width_cm,12,Paired EI
Even,Model10,w3,1,Severity
Even,Model10,num_whorls,2,Severity
Even,Model10,brace_root_whorls_in_the_soil,3,Severity
Even,Model10,w2,4,Severity
Even,Model10,w1,5,Severity
Even,Model10,stalk_to_rootgrounding_cm,6,Severity
Even,Model10,spread_width_cm,7,Severity
Even,Model10,root_angle,8,Severity
Even,Model10,root_heightonstalk_cm,9,Severity
Even,Model10,stalk_width_cm,10,Severity
Even,Model10,single_root_width_cm,11,Severity
Odd,Model11,w3,1,Severity
Odd,Model11,num_whorls,2,Severity
Odd,Model11,w2,3,Severity
Odd,Model11,spread_width_cm,4,Severity
Odd,Model11,stalk_to_rootgrounding_cm,5,Severity
Odd,Model11,root_angle,6,Severity
Odd,Model11,w1,7,Severity
Odd,Model11,brace_root_whorls_in_the_soil,8,Severity
Odd,Model11,stalk_width_cm,9,Severity
Odd,Model11,single_root_width_cm,10,Severity
Odd,Model11,flexural_rigidity_ei_imu,11,Severity
Odd,Model11,root_heightonstalk_cm,12,Severity
Odd,Model11,ratio_none_all_imu,13,Severity
Odd,Model11,height_cm,14,Severity
Even,Model12,w3,1,Severity
Even,Model12,num_whorls,2,Severity
Even,Model12,spread_width_cm,3,Severity
Even,Model12,w2,4,Severity
Even,Model12,brace_root_whorls_in_the_soil,5,Severity
Even,Model12,stalk_to_rootgrounding_cm,6,Severity
Even,Model12,root_angle,7,Severity
Even,Model12,w1,8,Severity
Even,Model12,ratio_none_all_imu,9,Severity
Even,Model12,stalk_width_cm,10,Severity
Even,Model12,flexural_rigidity_ei_imu,11,Severity
Even,Model12,single_root_width_cm,12,Severity
Even,Model12,root_heightonstalk_cm,13,Severity
Odd,Model13,w3,1,EI
Odd,Model13,num_whorls,2,EI
Odd,Model13,brace_root_whorls_in_the_soil,3,EI
Odd,Model13,root_angle,4,EI
Odd,Model13,root_heightonstalk_cm,5,EI
Odd,Model13,w2,6,EI
Odd,Model13,stalk_to_rootgrounding_cm,7,EI
Odd,Model13,spread_width_cm,8,EI
Odd,Model13,single_root_width_cm,9,EI
Odd,Model13,w1,10,EI
Odd,Model13,stalk_width_cm,11,EI
Odd,Model13,height_cm,12,EI
Even,Model14,w3,1,EI
Even,Model14,num_whorls,2,EI
Even,Model14,brace_root_whorls_in_the_soil,3,EI
Even,Model14,root_angle,4,EI
Even,Model14,stalk_to_rootgrounding_cm,5,EI
Even,Model14,root_heightonstalk_cm,6,EI
Even,Model14,spread_width_cm,7,EI
Even,Model14,w2,8,EI
Even,Model14,single_root_width_cm,9,EI
Even,Model14,w1,10,EI
Even,Model14,stalk_width_cm,11,EI
Odd,Model15,w3,1,Ratio
Odd,Model15,w2,2,Ratio
Odd,Model15,num_whorls,3,Ratio
Odd,Model15,root_angle,4,Ratio
Odd,Model15,brace_root_whorls_in_the_soil,5,Ratio
Odd,Model15,single_root_width_cm,6,Ratio
Odd,Model15,spread_width_cm,7,Ratio
Odd,Model15,root_heightonstalk_cm,8,Ratio
Odd,Model15,stalk_width_cm,9,Ratio
Odd,Model15,w1,10,Ratio
Odd,Model15,stalk_to_rootgrounding_cm,11,Ratio
Odd,Model15,height_cm,12,Ratio
Even,Model16,w3,1,Ratio
Even,Model16,num_whorls,2,Ratio
Even,Model16,brace_root_whorls_in_the_soil,3,Ratio
Even,Model16,spread_width_cm,4,Ratio
Even,Model16,root_angle,5,Ratio
Even,Model16,w2,6,Ratio
Even,Model16,root_heightonstalk_cm,7,Ratio
Even,Model16,single_root_width_cm,8,Ratio
Even,Model16,stalk_width_cm,9,Ratio
Even,Model16,stalk_to_rootgrounding_cm,10,Ratio
Even,Model16,w1,11,Ratio
Even,Model2,w3,1,Paired EI
Even,Model2,num_whorls,2,Paired EI
Even,Model2,brace_root_whorls_in_the_soil,3,Paired EI
Even,Model2,w2,4,Paired EI
Even,Model2,stalk_to_rootgrounding_cm,5,Paired EI
Even,Model2,root_angle,6,Paired EI
Even,Model2,single_root_width_cm,7,Paired EI
Even,Model2,w1,8,Paired EI
Even,Model2,spread_width_cm,9,Paired EI
Even,Model2,root_heightonstalk_cm,10,Paired EI
Even,Model2,stalk_width_cm,11,Paired EI
Odd,Model3,w3,1,Paired Ratio
Odd,Model3,num_whorls,2,Paired Ratio
Odd,Model3,w2,3,Paired Ratio
Odd,Model3,w1,4,Paired Ratio
Odd,Model3,root_angle,5,Paired Ratio
Odd,Model3,brace_root_whorls_in_the_soil,6,Paired Ratio
Odd,Model3,stalk_to_rootgrounding_cm,7,Paired Ratio
Odd,Model3,stalk_width_cm,8,Paired Ratio
Odd,Model3,spread_width_cm,9,Paired Ratio
Odd,Model3,root_heightonstalk_cm,10,Paired Ratio
Odd,Model3,single_root_width_cm,11,Paired Ratio
Odd,Model3,height_cm,12,Paired Ratio
Even,Model4,w3,1,Paired Ratio
Even,Model4,num_whorls,2,Paired Ratio
Even,Model4,w2,3,Paired Ratio
Even,Model4,w1,4,Paired Ratio
Even,Model4,root_angle,5,Paired Ratio
Even,Model4,brace_root_whorls_in_the_soil,6,Paired Ratio
Even,Model4,spread_width_cm,7,Paired Ratio
Even,Model4,stalk_to_rootgrounding_cm,8,Paired Ratio
Even,Model4,root_heightonstalk_cm,9,Paired Ratio
Even,Model4,stalk_width_cm,10,Paired Ratio
Even,Model4,single_root_width_cm,11,Paired Ratio
Odd,Model5,w3,1,Susceptibility
Odd,Model5,num_whorls,2,Susceptibility
Odd,Model5,brace_root_whorls_in_the_soil,3,Susceptibility
Odd,Model5,w2,4,Susceptibility
Odd,Model5,spread_width_cm,5,Susceptibility
Odd,Model5,w1,6,Susceptibility
Odd,Model5,root_angle,7,Susceptibility
Odd,Model5,root_heightonstalk_cm,8,Susceptibility
Odd,Model5,stalk_to_rootgrounding_cm,9,Susceptibility
Odd,Model5,single_root_width_cm,10,Susceptibility
Odd,Model5,stalk_width_cm,11,Susceptibility
Odd,Model5,height_cm,12,Susceptibility
Even,Model6,w3,1,Susceptibility
Even,Model6,num_whorls,2,Susceptibility
Even,Model6,brace_root_whorls_in_the_soil,3,Susceptibility
Even,Model6,w2,4,Susceptibility
Even,Model6,spread_width_cm,5,Susceptibility
Even,Model6,w1,6,Susceptibility
Even,Model6,stalk_to_rootgrounding_cm,7,Susceptibility
Even,Model6,single_root_width_cm,8,Susceptibility
Even,Model6,root_heightonstalk_cm,9,Susceptibility
Even,Model6,root_angle,10,Susceptibility
Even,Model6,stalk_width_cm,11,Susceptibility
Odd,Model7,w3,1,Susceptibility
Odd,Model7,num_whorls,2,Susceptibility
Odd,Model7,w2,3,Susceptibility
Odd,Model7,spread_width_cm,4,Susceptibility
Odd,Model7,root_angle,5,Susceptibility
Odd,Model7,stalk_to_rootgrounding_cm,6,Susceptibility
Odd,Model7,root_heightonstalk_cm,7,Susceptibility
Odd,Model7,w1,8,Susceptibility
Odd,Model7,ratio_none_all_imu,9,Susceptibility
Odd,Model7,single_root_width_cm,10,Susceptibility
Odd,Model7,brace_root_whorls_in_the_soil,11,Susceptibility
Odd,Model7,flexural_rigidity_ei_imu,12,Susceptibility
Odd,Model7,stalk_width_cm,13,Susceptibility
Odd,Model7,height_cm,14,Susceptibility
Even,Model8,w3,1,Susceptibility
Even,Model8,num_whorls,2,Susceptibility
Even,Model8,brace_root_whorls_in_the_soil,3,Susceptibility
Even,Model8,w2,4,Susceptibility
Even,Model8,spread_width_cm,5,Susceptibility
Even,Model8,stalk_to_rootgrounding_cm,6,Susceptibility
Even,Model8,single_root_width_cm,7,Susceptibility
Even,Model8,w1,8,Susceptibility
Even,Model8,root_angle,9,Susceptibility
Even,Model8,root_heightonstalk_cm,10,Susceptibility
Even,Model8,ratio_none_all_imu,11,Susceptibility
Even,Model8,stalk_width_cm,12,Susceptibility
Even,Model8,flexural_rigidity_ei_imu,13,Susceptibility
Odd,Model9,w3,1,Severity
Odd,Model9,num_whorls,2,Severity
Odd,Model9,w2,3,Severity
Odd,Model9,brace_root_whorls_in_the_soil,4,Severity
Odd,Model9,spread_width_cm,5,Severity
Odd,Model9,w1,6,Severity
Odd,Model9,stalk_to_rootgrounding_cm,7,Severity
Odd,Model9,root_angle,8,Severity
Odd,Model9,stalk_width_cm,9,Severity
Odd,Model9,root_heightonstalk_cm,10,Severity
Odd,Model9,single_root_width_cm,11,Severity
Odd,Model9,height_cm,12,Severity