Accession,Flexural.Rigidity..EI....IMU_2018,Flexural.Rigidity..EI....IMU_2019,Ratio..None.All....IMU_2018,Ratio..None.All....IMU_2019,Percent.Lodging,Lodging.Index,Brace.Root.Whorls.in.the.Soil,num_whorls,w1,w2,w3,root_angle,height.cm.,stalk_width.cm,spread_width.cm,single_root_width.cm,root_heightonstalk.cm,stalk_to_rootgrounding.cm
2369,6.0508377284,9.5160785448125,0.480507102,0.66008862375,23.5294117629412,0.264705882352941,1.72727272727273,1.25,12.1818181818182,3.63636363636364,0,29.1353463295455,208.727272727273,1.80796826372727,8.20966957059091,0.492822595363636,6.3242160765,3.20085065440909
6M502,4.3535030071,6.41184019785185,0.634058309,0.564658885925926,0,0,2,1.67391304347826,15.6086956521739,9,0.0434782608695652,47.1677115121739,192.434782608696,2.23191488217391,8.63289919543478,0.442076641826087,3.14077403621739,3.2004921576087
A632,4.15105548414286,8.09661870235714,0.84558008,0.702626062142857,0,0,2.0952380952381,1.38095238095238,13.1904761904762,6,0,34.7045102171429,181.142857142857,1.87311533219048,7.77431974390476,0.525519280761905,4.47724987457143,2.95060220642857
B104,7.4840511016,17.2835670420667,0.665594492,0.718072850333333,0,0,2.36666666666667,1.58333333333333,17.8,8.53333333333333,0,40.7978229783333,181.7,2.5239081574,9.0804189376,0.323972818466667,3.82803365546667,3.27825539076667
B73,9.1920098519,11.0176610392727,0.613407602,0.479235405909091,32.3529411758824,0.161764705882353,2.11111111111111,1.30555555555556,11.1666666666667,2.27777777777778,0,25.171556355,214.888888888889,1.98528480272222,7.86982863188889,0.586457821722222,7.04603865866667,2.94227191522222
B97,5.551380322625,10.2742430730909,0.65978424625,0.690364727727273,57.8947368426316,0.736842105263158,1.42857142857143,1.47619047619048,10.4761904761905,3,0,40.9865813595238,202.285714285714,2.0553885262381,7.59473916866667,0.501663785,3.3157826152381,2.76967532204762
CML10,13.5896854698,17.5947996887222,0.724156126,0.767778587222222,100,1.48275862068966,1.76470588235294,1.97058823529412,16.5294117647059,8.70588235294118,0.352941176470588,39.2664202194118,244.647058823529,2.452533054,9.29608124652941,0.406080498823529,4.67874206723529,3.42177409641176
CML103,11.1979536461111,8.6577043848125,0.600436318888889,0.6197696825,63.6363636345455,0.909090909090909,2,1.13333333333333,15.4666666666667,0.8,0,49.292732742,213.333333333333,2.25206791433333,7.495458272,0.668196888,2.28190839146667,2.62169517953333
CML228,8.212215691,17.6728589630435,0.81708705,0.707270472608696,0,0,2.0952380952381,1.61904761904762,12.3809523809524,3.80952380952381,0.0952380952380952,37.0189824852381,212.619047619048,2.51203090119048,8.97666832919048,0.69197178847619,4.46174025980952,3.2323187147619
CML247,9.7640356338,13.6623093790625,0.589548594,0.656527833125,66.666666665,1.5,2.28571428571429,1.03571428571429,13.9285714285714,0.5,0,28.1727385778571,209.714285714286,2.16461856278571,8.36867970942857,0.512055003928571,6.23313796428571,3.10203057421429
CML258,14.695244837,28.1938563128571,0.494230329,0.502316837142857,34.4827586224138,0.896551724137931,2.66666666666667,2,14.3809523809524,17.5238095238095,0.142857142857143,38.550891112381,274.571428571429,2.57868467147619,12.4476888059048,0.476831426333333,6.20470205880952,4.93450206833333
CML277,8.9980414781,12.8673210881714,0.783120349,0.671964583428571,0,0,1.78787878787879,1.27272727272727,14,4.84848484848485,0,24.2310392948485,231.121212121212,1.95453852545455,7.17265952109091,0.457396647060606,6.40434964,2.60906049875758
CML322,11.5495146773,8.744025806,0.63417863,0.62473379,0,0,3,1,9,0,0,55.02273447,176,2.49606929,8.618458613,0.468328041,2.169884981,3.061194661
CML333,6.84557558744444,8.516856987,0.570994345555556,0.7001908275,66.6666666666667,0.666666666666667,1.81818181818182,1.45454545454545,16.2727272727273,7.72727272727273,0,35.6420253245455,231,1.87546876981818,6.62341768181818,0.338259025363636,3.19245220172727,2.37397445672727
CML341,17.1711718289,9.19496233608823,0.662108803,0.699013332058824,32.2580645141935,0.32258064516129,1.96666666666667,1.11666666666667,12.2,0.7,0,37.2244227073333,213.7,2.0744351543,7.37994479843333,0.439558143,3.9739033886,2.65275482263333
CML373,12.4659729916,11.1214141755217,0.644252684,0.682963064782609,0,0,2.52941176470588,1.85294117647059,13,10.0588235294118,0.823529411764706,40.74731014,213.235294117647,2.23921793988235,7.77294510852941,0.477924933,3.36139965282353,2.76686358494118
CML52,13.0868351786,13.19008428075,0.750001862,0.887317173928571,100,3,1.18181818181818,1.54545454545455,14.6818181818182,1.68181818181818,0,29.47876694,256.545454545455,2.28208875704545,6.59400193604545,0.472583742454545,4.15424846590909,2.15595659022727
CML69,11.30953447125,7.74458794592308,0.61337056625,0.775262621923077,97.05882353,0.970588235294118,1.63636363636364,1.13636363636364,9.81818181818182,1.04545454545455,0,32.3608450854545,193.545454545455,2.21845224945455,8.53471875113636,0.422926981909091,5.23963828840909,3.15813325163636
F118,7.6831865714,7.27324426293333,0.72865621,0.685022273333333,8.333333335,0.357142857142857,2.35714285714286,1.82142857142857,14.7142857142857,12.0714285714286,0.428571428571429,35.5550729885714,194.428571428571,2.57473854485714,7.47011777528571,0.551608379357143,3.68196895085714,2.44768961628571
GT112,11.0280778858,16.6892147842143,0.431021859,0.446084241071429,12.0000000008,0.12,2.125,1.35416666666667,15.4583333333333,4.29166666666667,0,36.40199161875,249.458333333333,2.174848014375,8.56361105758333,0.528103139625,4.66391721933333,3.19438152258333
Hickory King,11.705488468875,21.0507093706538,0.42312624,0.590223425769231,76.6081871368421,1.71052631578947,2.22222222222222,1.36111111111111,14.3333333333333,3.88888888888889,0,40.4414724677778,281.388888888889,2.44353140061111,9.20555109588889,0.563360802444444,4.19634342977778,3.38100984794444
Hp301,4.30396719875,6.30712663371795,0.4024087525,0.457746542820513,0,0,1.86666666666667,1.28333333333333,13.7,4.26666666666667,0,43.132522171,189.7,1.81914910826667,6.2445753703,0.418449460533333,2.3267495699,2.2127131318
Ki11,14.5373177047,21.1474272444444,0.662493555,0.823196394444444,0,0,1.88888888888889,1.58333333333333,14.5555555555556,7.88888888888889,0,31.0363753966667,205.833333333333,2.49300437733333,6.66271192561111,0.552821576166667,3.58360913838889,2.08485377477778
Ki3,8.51752386925,14.96513296325,0.76512478,0.575787536,0,0,2,1.625,14.5,3.75,0,44.48307991,166.25,2.43397439725,8.83330399375,0.4478985195,3.33204677075,3.1996647985
Ky21,3.2394283725,6.28993093775,0.8593438475,0.802512599166667,34.7826086995652,0.434782608695652,2.1304347826087,1.41304347826087,8.43478260869565,0.826086956521739,0,42.0468076130435,205.217391304348,2.19229779791304,9.96868730847826,0.464445537173913,4.38627807956522,3.88819475673913
L163,6.88809926375,6.95522347493103,0.64963288625,0.516258440344828,0,0,2.27272727272727,1.27272727272727,12.3636363636364,2.27272727272727,0,34.2122661359091,202.181818181818,1.97652663440909,6.29718426818182,0.471727275954545,3.43292050309091,2.16032881772727
LH123Ht,8.592993154,6.34247554764286,0.66928605,0.518171319642857,26.923076921,0.423076923076923,2.04,1.26,11.8,2.2,0,44.5848866136,246.94,1.78619199848,8.4243833692,0.69354671592,3.63946748632,3.31909568624
LH211,5.8718901545,11.0793900932963,0.50780640875,0.520006138888889,5.88235294,0.294117647058824,2.33333333333333,1.375,13.7083333333333,4.16666666666667,0.0416666666666667,36.9451008158333,255.333333333333,1.873656723,10.736644179625,0.531764106458333,6.2335289715,4.43149372929167
LH252,4.9219484344,9.25486338725,0.514199056,0.48862539125,65.000000001,1.6,1.57142857142857,1.64285714285714,9.14285714285714,4,0,48.4721370942857,249.857142857143,1.97816713514286,9.37302995385714,0.438236464285714,3.76485261,3.69743141042857
M162W,10.85947729675,14.44645811935,0.53965735375,0.633935462,6.4516129016129,0.129032258064516,2,1.41666666666667,16.4444444444444,5.55555555555556,0,31.0268368305556,203.916666666667,2.53597334522222,6.06974309694444,0.421715761111111,2.9506902755,1.76688487655556
M37W,8.07664114757143,10.5268029038333,0.611365364285714,0.634640145416667,13.7931034496552,0.137931034482759,2.04166666666667,1.77083333333333,11.5833333333333,5.54166666666667,0,36.1538901945833,210.583333333333,2.34533756179167,10.7645639620417,0.411059741833333,5.88495376308333,4.20961320054167
Mo17,4.253912956875,6.413186538,0.5618261925,0.419063381666667,0,0,2.16666666666667,1.5,11,3.16666666666667,0,42.1786244966667,208.666666666667,2.28136655733333,10.128560479,0.527262801833333,4.43903598816667,3.92359696083333
Mo18W,17.42246172,19.4233233244815,0.69868170125,0.614473783333333,97.22222222,1.20833333333333,2.70833333333333,1.20833333333333,18.5833333333333,5.125,0,27.3908738291667,221.625,2.57395955279167,9.83349487645833,0.379051186708333,7.181414314875,3.6297676625
Ms71,4.9200106631,7.31469163473684,0.575169985,0.656734394210526,0,0,1.68421052631579,1.39473684210526,12.5263157894737,2.47368421052632,0.157894736842105,43.46547342,179.684210526316,2.07137911147368,9.95122771942105,0.483322614684211,4.2731542,3.93992430484211
NC262,6.34729414583333,11.9677808923,0.81679139,0.657729847,15.3846153838462,0.307692307692308,2.4,1.2,15.3,3,0,42.513396782,154.7,2.2830271385,8.2503031321,0.4075892843,3.5655995433,2.9836379968
NC350,4.406077653,5.38703249923077,0.72942110375,0.718550981538462,75,0.375,1.61538461538462,1.07692307692308,17.4615384615385,0.461538461538462,0,32.4597124307692,188.846153846154,2.05888252215385,7.72162547038462,0.366350825769231,4.83309387938462,2.83137147515385
Oh43,4.089109048875,10.0249790771739,0.8580778275,0.647454017391304,3.44827586193103,0.0689655172413793,1.63636363636364,1.13636363636364,10.8181818181818,1.27272727272727,0,41.1882987836364,189.227272727273,2.00479743627273,8.36534118886364,0.604493968863636,4.34230156636364,3.18027187731818
Oh7B,6.3880089291,11.2416999634,0.637935404,0.8436699868,94.7368421057895,2.26315789473684,1.33333333333333,1.33333333333333,10.6666666666667,1.22222222222222,0,36.9861670711111,246,2.02945509922222,6.16384315977778,0.545385433444444,2.90276283533333,2.06719403122222
P39,0.693854462666667,1.812888595,0.705878556666667,0.81483424,71.4285714285714,0.714285714285714,1,1,4,0,0,23.12867476,139,2.408957542,8.297941311,0.424195861,6.782893159,2.944491886
PHB47,7.0507149971,8.27255579171429,0.666510754,0.584875503333333,36.0000000002,0.44,1,1.28125,15.1875,0.875,0,39.40022444125,215.75,1.9399335306875,5.5201454253125,0.490885717875,2.4089197445,1.7901059479375
PHHB4,6.53771028628571,9.21851984513044,0.607717432857143,0.454684489130435,0,0,1.95238095238095,2,7.57142857142857,3.76190476190476,0,38.2409683547619,231.857142857143,1.89328510595238,8.51732739619048,0.537639337904762,4.79380892361905,3.31202114557143
PHK46,4.5309344385,7.66286376230769,0.600387633,0.538427456153846,0,0,2.4375,1.4375,16.25,5.6875,0,46.461772438125,209.9375,1.978342028375,11.3316879515,0.433114132,4.4282862269375,4.6766729625
PHR58,6.4163641041,9.44502923590476,0.617585852,0.499977642857143,0,0,1.88888888888889,1.47222222222222,10,5.55555555555556,0,53.3760830777778,243.972222222222,2.18606115,10.2057041631111,0.538112064388889,2.60444325138889,4.00982150711111
PHT60,6.92013295125,6.18599570069231,0.79011945875,0.690150695,7.14285714428572,0.0714285714285714,2,1.3125,13.2916666666667,2.58333333333333,0,34.3345459404167,192.458333333333,1.790515088375,5.79902388320833,0.360326992416667,2.995403640125,2.00425439829167
R78,4.5161350025,7.07421569376,0.69997091125,0.560656658,43.3333333346667,0.5,2.05263157894737,1.39473684210526,12.3157894736842,4.94736842105263,0,38.7084117642105,186.578947368421,2.34725432805263,6.644488548,0.580638021894737,2.72723850642105,2.148617111
R84,3.20255435928571,6.57671893603448,0.528936298571429,0.632023915172414,51.7241379331034,0.827586206896552,1.73913043478261,1.32608695652174,12.7826086956522,2.95652173913043,0,37.3048009556522,200.978260869565,2.0615730543913,6.25363853082609,0.549768153913043,2.86626305904348,2.09603273895652
SA24,7.407633473,15.2549866494091,0.76403426625,0.873117034545455,100,1.52941176470588,1.0952380952381,1,22.1904761904762,0,0,37.0757928109524,184.714285714286,2.4449878837619,5.80119677942857,0.419021184428571,2.13932395742857,1.67810444871429
Shoe Peg,8.015361892,6.81128733466667,0.51276558,0.567827852666667,29.16666666375,0.625,2.375,2,16.625,13.5,0.25,48.6790610375,213.5,2.059208870125,9.862928034625,0.470060841625,3.416657811625,3.90185958275
Tx303,8.338076081625,7.05586128073913,0.59904131625,0.595533406086956,61.2903225806452,1.09677419354839,1.52380952380952,1.26190476190476,11.3333333333333,3.14285714285714,0.142857142857143,44.6051178938095,248.119047619048,1.79228616885714,8.01613327861905,0.437384290714286,3.48088361766667,3.11192355585714
Tzi8,7.76594103178947,13.8232634561961,0.759641819473684,0.696621224313726,100,2,2.08823529411765,1.54411764705882,11.1764705882353,1.85294117647059,0,36.5498951929412,230.588235294118,1.93552747594118,8.25387123797059,0.578573263323529,5.31895237664706,3.15917188188235
Tzi9,13.27728331,7.8870070422,0.754820128,0.619759516,100,0.734375,1.75,1.2,12.4,2.1,0,30.756554013,252.75,2.0802305967,6.02644032245,0.57517214155,3.4542668224,1.97310486375
W64A,3.0465077438,4.01480944161364,0.831153644,0.592962908636364,3.44827586206897,0.0344827586206897,2.35135135135135,1.48648648648649,13.1621621621622,5.94594594594595,0,37.5880794043243,177.5,1.74072925056757,6.17233107289189,0.471550145189189,3.03026852151351,2.21580091194595
